-1.5764,7.70775,3.04166
-1.2708,7.89611,3.15801
-1.85489,8.40454,2.52546
-1.71467,8.32155,2.87796
-1.50167,8.43234,3.13775
-1.26073,8.02937,3.28251
-1.96378,8.16711,2.91219
-2.00918,7.63674,2.86543
1.91721,6.64864,2.56644
2.20582,6.93157,2.59641
1.21526,6.66291,2.61051
1.49417,6.73786,2.83079
1.74927,7.23948,2.7827
2.12059,7.04268,2.79442
1.65323,6.62972,2.85112
1.8119,6.1713,2.69223
-1.75385,6.4511,2.75153
-1.45666,6.57713,2.92619
-1.3303,6.96237,3.15768
-1.02998,7.20124,3.17508
-1.28894,6.50828,3.30787
-1.11967,6.09393,3.09157
-1.64173,7.15867,3.10666
-1.80918,6.68774,3.24792
-1.07557,6.92795,3.2774
-1.22038,6.43026,3.48976
-1.66429,6.56039,3.4586
-1.937,6.63445,3.09844
1.51378,7.38942,3.08133
1.81247,7.63881,3.14876
1.20505,8.17595,3.14901
1.52052,8.36689,3.17242
2.05705,7.98205,3.02363
2.11173,7.7919,2.62264
1.45505,8.10785,3.39137
1.58968,7.59927,3.48815
1.81462,8.42362,2.99437
2.17247,8.12444,3.04229
1.94151,7.87393,3.41682
1.63182,7.4749,3.45813
-0.284047,5.76913,3.1906
0.0110317,6.03249,3.24026
-1.02153,5.68923,2.71028
-0.822258,5.60679,3.03393
-0.605025,6.31515,3.39927
-0.451303,5.8793,3.62692
-0.559792,5.46176,3.27595
-0.419733,5.13058,2.98374
-0.83875,5.83923,3.59227
-1.11451,5.95973,3.24877
-0.199504,5.75111,3.48031
-0.44307,5.28932,3.5502
-0.93385,5.63981,3.78984
-0.602784,5.29838,3.96356
-0.499839,5.75139,4.06204
-0.280879,6.12742,3.72728
0.966782,8.58174,2.57928
1.26062,8.83908,2.59009
1.14733,7.83384,2.95524
1.43718,8.12031,2.99771
1.07815,8.87431,2.91784
0.69465,8.7577,2.97841
1.40523,8.32718,3.07566
1.64483,7.97388,2.84669
0.949753,8.4771,3.28151
0.612524,8.55555,3.00296
1.53016,8.62387,3.03735
1.51473,8.08618,3.2164
0.897419,8.34864,3.48457
1.29008,8.09141,3.60132
1.38357,8.54826,3.56712
1.31401,8.97182,3.19311
0.531949,5.84017,4.12734
0.833719,5.99591,4.27884
1.01027,6.4952,4.42019
1.2341,6.85348,4.33084
1.33313,5.61586,4.416
1.32955,5.55638,3.98808
0.812521,6.40954,4.70708
0.822004,5.88105,4.85163
1.56417,6.1827,4.56581
1.57691,5.64235,4.72622
0.988428,5.72273,4.99515
0.658205,5.68893,4.70034
1.36861,5.70968,5.55178
